0	0
1.36815	0.20453
1.37194	0.20106
1.37573	0.20025
1.37952	0.19966
1.38332	0.19598
1.38711	0.19227
1.3909	0.19493
1.39469	0.19671
1.39848	0.19684
1.40227	0.19069
1.40606	0.1913
1.40986	0.18836
1.41365	0.18639
1.41744	0.18948
1.42123	0.19204
1.42502	0.19161
1.42881	0.19106
1.4326	0.19149
1.43639	0.19724
1.44019	0.19647
1.44398	0.19761
1.44777	0.199
1.45156	0.19722
1.45535	0.19615
1.45914	0.19476
1.46293	0.19318
1.46672	0.19642
1.47051	0.19508
1.4743	0.19902
1.47809	0.19901
1.48188	0.19824
1.48567	0.19614
1.48946	0.19098
1.49325	0.19119
1.49704	0.1905
1.50083	0.18871
1.50462	0.18525
1.50841	0.17999
1.51221	0.18092
1.51599	0.17868
1.51978	0.17967
1.52357	0.18366
1.52736	0.1817
1.53115	0.18339
1.53494	0.17892
1.53873	0.18132
1.54252	0.18274
1.54631	0.18041
1.5501	0.18253
1.55389	0.18319
1.55768	0.18528
1.56147	0.18746
1.56526	0.18856
1.56905	0.18998
1.57284	0.18649
1.57663	0.18551
1.58042	0.1865
1.58421	0.18632
1.588	0.18637
1.59179	0.18184
1.59558	0.18161
1.59936	0.17832
1.60315	0.17939
1.60694	0.182
1.61073	0.17888
1.61452	0.18027
1.61831	0.17869
1.6221	0.1738
1.62589	0.17443
1.62967	0.17198
1.63346	0.17437
1.63725	0.17096
1.64104	0.16828
1.64483	0.17062
1.64862	0.16582
1.65241	0.16652
1.6562	0.17181
1.65998	0.17286
1.66377	0.17435
1.66756	0.1745
1.67135	0.17515
1.67514	0.17452
1.67893	0.17631
1.68271	0.18009
1.6865	0.17815
1.69029	0.17669
1.69408	0.17634
1.69786	0.17667
1.70165	0.17345
1.70544	0.17395
1.70923	0.17788
1.71301	0.17442
1.7168	0.17319
1.72059	0.17533
1.72438	0.17098
1.72816	0.17155
1.73195	0.17013
1.73574	0.17296
1.73953	0.17054
1.74331	0.16788
1.7471	0.16901
1.75089	0.17003
1.75467	0.17152
1.75846	0.17688
1.76225	0.17509
1.76604	0.17535
1.76982	0.17629
1.77361	0.18317
1.7774	0.18298
1.78119	0.18332
1.78497	0.18474
1.78876	0.1855
1.79255	0.18366
1.79633	0.1865
1.80012	0.19112
1.80391	0.19215
1.80769	0.19427
1.81148	0.20006
1.81526	0.20478
1.81905	0.20696
1.82284	0.20954
1.82662	0.21419
1.83041	0.21966
1.83419	0.21811
1.83798	0.21794
1.84177	0.21767
1.84555	0.21678
1.84934	0.21929
1.85312	0.21778
1.85691	0.21953
1.86069	0.21939
1.86448	0.22141
1.86827	0.22526
1.87205	0.22825
1.87584	0.22617
1.87962	0.23133
1.88341	0.23055
1.88719	0.23441
1.89098	0.23529
1.89476	0.23828
1.89855	0.23507
1.90233	0.23287
1.90612	0.23572
1.9099	0.23927
1.91369	0.23871
1.91747	0.23994
1.92126	0.24128
1.92504	0.24315
1.92883	0.24114
1.93261	0.24261
1.9364	0.24637
1.94018	0.24621
1.94396	0.24645
1.94775	0.24447
1.95153	0.24554
1.95532	0.24218
1.9591	0.23731
1.9629	0.23718
1.96667	0.23722
1.97045	0.23955
1.97423	0.23895
1.97803	0.23655
1.98181	0.23691
1.98559	0.23786
1.98937	0.24216
1.99317	0.24782
1.99694	0.25452
2.00072	0.25608
2.0045	0.25612
2.0083	0.25677
2.01208	0.26396
2.01586	0.26354
2.01963	0.26327
2.02343	0.26581
2.02721	0.26633
2.03099	0.26496
2.03478	0.26576
2.03856	0.26604
2.04234	0.26282
2.04612	0.26378
2.04991	0.26728
2.05369	0.26674
2.05747	0.26785
2.06125	0.2691
2.06504	0.27334
2.06882	0.27514
2.0726	0.27573
2.07638	0.28337
2.08017	0.28134
2.08395	0.28056
2.08773	0.28557
2.0915	0.28912
2.0953	0.28884
2.09908	0.28793
2.10285	0.28502
2.10665	0.28584
2.11043	0.28706
2.1142	0.29001
2.11798	0.29006
2.12178	0.29006
2.12555	0.28918
2.12933	0.28858
2.13311	0.2908
2.1369	0.29475
2.14068	0.29758
2.14445	0.29813
2.14823	0.29969
2.15203	0.30605
2.1558	0.30845
2.15958	0.3096
2.16337	0.31393
2.16715	0.31161
2.17093	0.3153
2.1747	0.31644
2.1785	0.31661
2.18227	0.31537
2.18605	0.32008
2.18982	0.32134
2.19362	0.32469
2.19739	0.3256
2.20117	0.32827
2.20494	0.32975
2.20874	0.33473
2.21251	0.33749
2.21629	0.3387
2.22006	0.33939
2.22386	0.34277
2.22763	0.34198
2.23141	0.34635
2.2352	0.34322
2.23898	0.34306
2.24275	0.34051
2.24653	0.342
2.25032	0.34369
2.25409	0.34686
2.25787	0.34738
2.26164	0.3469
2.26544	0.3481
2.26921	0.35468
2.27298	0.35814
2.27676	0.35914
2.28055	0.3633
2.28432	0.36945
2.2881	0.36575
2.29187	0.36596
2.29567	0.37228
2.29944	0.37289
2.30321	0.3775
2.30701	0.38344
2.31078	0.38987
2.31455	0.3886
2.31833	0.39042
2.32212	0.39533
2.32589	0.3987
2.32966	0.40118
2.33344	0.40449
2.33723	0.40763
2.341	0.40598
2.34478	0.40467
2.34855	0.40665
2.35234	0.41032
2.35611	0.40649
2.35989	0.40957
2.36366	0.40734
2.36745	0.40465
2.37122	0.40522
2.375	0.40666
2.37879	0.40312
2.38256	0.40716
2.38633	0.40374
2.3901	0.40775
2.39389	0.40766
2.39767	0.41233
2.40144	0.41424
2.40521	0.41745
2.409	0.41919
2.41277	0.42291
2.41654	0.42483
2.42031	0.42728
2.42411	0.42524
2.42788	0.42414
2.43165	0.41895
2.43542	0.4246
2.43921	0.42325
2.44298	0.42296
2.44675	0.42572
2.45054	0.41993
2.45431	0.42224
2.45808	0.42555
2.46185	0.42832
2.46564	0.43301
2.46942	0.4299
2.47318	0.42819
2.47696	0.43033
